,Latitude,Longitude,Company,Facility,Facility ID,Address,City,County,State,Zip
409,44.5848,-93.1549,,NORTHERN TELECOM,55343NRTHR9701D,9701 DATA PARK,MINNETONKA,HENNEPIN,MN,55343
411,44.5504,-93.2523,,SHANNON GROUP INC TONKA DIV,55343SHNNN11301,11301 W 47TH ST,HOPKINS,HENNEPIN,MN,55343
412,44.5344,-93.2621,SUEZ TREATMENT SOLUTIONS INC,SUEZ WTS SOLUTIONS USA INC,55343SMNCS5951C,5951 CLEARWATER DR,MINNETONKA,HENNEPIN,MN,55343
413,44.5504,-93.2528,TK PRODUCTS,SIERRA CORP,55343SRRCR11401,11400 W 47TH ST,MINNETONKA,HENNEPIN,MN,55343
414,44.5133,-93.2855,,BIRCHWOOD LABORATORIES INC,55344BRCHW7900F,7900 FULLER RD,EDEN PRAIRIE,HENNEPIN,MN,553442195
415,44.5246,-93.2428,,CONTROL DATA CORP,55344CNTRL6740S,6740 SHADY OAK RD,EDEN PRAIRIE,HENNEPIN,MN,55344
416,44.531,-93.24,,MACDERMID INC EDEN PRAIRIE,55344CRCTS9805H,9805 HAMILTON AVENUE,EDEN PRAIRIE,HENNEPIN,MN,55344
417,44.5224,-93.2403,,DOUGLAS CORP,55344DGLSC9650V,9650 VALLEYVIEW RD,EDEN PRAIRIE,HENNEPIN,MN,55344
418,44.5144,-93.26,,APPLIED COATING TECHNOLOGY INC PLANT 1,55344FTMRK12150,12150 TECHNOLOGY DRIVE,EDEN PRAIRIE,HENNEPIN,MN,55344
419,44.513,-93.273,,GENERAL MILLS,55344GNRLM7752M,7752 MITCHELL RD HENNEPIN,EDEN PRAIRIE,HENNEPIN,MN,55344
420,44.521,-93.242,,GUSTAFSON LLC,55344GSTFS7490G,7490 GOLDEN TRIANGLE DR,EDEN PRAIRIE,HENNEPIN,MN,55344
421,45.075,-93.163,HONEYWELL INTERNATIONAL INC,HONEYWELL AEROSPACE COON RAPIDS,55344HNYWL8840E,8840 EVERGREEN BLVD,COON RAPIDS,ANOKA,MN,55433
422,44.5312,-93.242,BODYCOTE THERMAL PROCESSING INC,BODYCOTE THERMAL PROCESSING,55344LNDBR10150,10150 CROSSTOWN CIR,EDEN PRAIRIE,HENNEPIN,MN,55344
424,44.514,-93.2605,,EMERSON CONTROL TECHNIQUES,55344MRSNC12005,12005 TECHNOLOGY DR,EDEN PRAIRIE,HENNEPIN,MN,55344
425,44.5242,-93.2415,,PHILLIPS and TEMRO INDUSTRIES INC.,55344PHLLP9700W,9700 W 74TH ST,EDEN PRAIRIE,HENNEPIN,MN,55344
426,44.5303,-93.2421,,PHYSICAL ELECTRONICS PHYSICAL ELECTRONICS DIV,55344PRKNL6509F,6509 FLYING CLOUD DR,EDEN PRAIRIE,HENNEPIN,MN,55344
427,45.1644,-93.4654,,POWER PROCESS EQUIPMENT,55344PWRPR7630C,7630 COMMERCE WAY,EDEN PRAIRIE,HENNEPIN,MN,55344
428,44.5252,-93.2424,,RELIANCE MOTION CONTROL,55344RLNCM6950W,6950 WASHINGTON AVE S,EDEN PRAIRIE,HENNEPIN,MN,55344
429,44.5118,-93.3222,EMERSON ELECTRIC CO,EMERSON AUTOMATION SOLUTIONS ROSEMOUNT INC,55344RSMNT12001,12001 TECHNOLOGY DR,EDEN PRAIRIE,HENNEPIN,MN,55344
430,44.522,-92.2636,,ROSEMOUNT INC,55344RSMNT7676E,7676 EXECUTIVE DR,EDEN PRAIRIE,HENNEPIN,MN,55344
431,44.5137,-93.2749,,EATON MDH INC,55344TNCRP15151,14900 TECHNOLOGY DR,EDEN PRAIRIE,HENNEPIN,MN,55344
432,44.5124,-93.2824,,ITT SCHADOW,55344TTSCH8081W,8081 WALLACE RD,EDEN PRAIRIE,HENNEPIN,MN,55344
433,44.5233,-93.2355,,VIKING PRESS INC,55344VKNGP7000W,7000 WASHINGTON AVE S,MINNEAPOLIS,HENNEPIN,MN,55344
434,44.561,-93.2825,,ST JUDE MEDICAL DAIG DIV,55345DGCRP14901,14901 MINNETONKA INDL RD,MINNETONKA,HENNEPIN,MN,553452126
435,44.5655,-90.2714,,HONEYWELL ADVANCED CIRCUITS INC,55345DVNCC15102,15102 MINNETONKA INDL RD,MINNETONKA,HENNEPIN,MN,55345
436,44.561,-93.2855,,IFLEX INC,55345DVNCD15115,15101 MINNETONKA IND RD,MINNETONKA,HENNEPIN,MN,55345
437,44.5614,-93.2824,,"PRECISION DIVERSIFIED, IND INC",55345PRCSN15285,15285 MINNETONKA BLVD,MINNETONKA,HENNEPIN,MN,55345
438,44.5328,-93.2704,LOGIC PD INC,LOGIC PD INC,55346MCRDY6201B,6201 BURY DR,EDEN PRAIRIE,HENNEPIN,MN,55346
439,45.0341,-94.0336,,DURA SUPREME,55349DRSPR300DU,300 DURA DR,HOWARD LAKE,WRIGHT,MN,55349
440,45.0339,-94.0421,,MUNSON LAKES NUTRITION LLC,55349LNDLK917SI,917 6TH ST,HOWARD LAKE,WRIGHT,MN,55349
443,44.52,-94.22,,GOEBEL FIXTURE CO INC,55350GBLFX528DA,528 DALE ST,HUTCHINSON,MCLEOD,MN,55350
444,44.5331,-94.211,,HAUGEN FURNITURE CO,55350HGNFR25MIC,25 MICHIGAN AVE,HUTCHINSON,MCLEOD,MN,55350
445,44.52,-94.23,,MINNESOTA SPECIALTY YEAST LLC,55350HRCLS35ADA,35 ADAMS ST NE,HUTCHINSON,MCLEOD,MN,55350
446,44.5356,-94.2115,HUTCHINSON TECHNOLOGY INC,HUTCHINSON TECHNOLOGY INC,55350HTCHN40WES,40 W HIGHLAND PARK,HUTCHINSON,MCLEOD,MN,55350
447,44.5343,-94.2258,,HUTCHINSON MANUFACTURING INC,55350HTCHNHWY22,720 HWY 7 W,HUTCHINSON,MCLEOD,MN,55350
448,44.5249,-94.2132,3M CO,3M CO-HUTCHINSON,55350MMGMDHIGHW,905/915 ADAMS ST SE,HUTCHINSON,MCLEOD,MN,55350
449,44.534,-94.2249,,NEW DIMENSION PLATING INC,55350NWDMN5403R,540 3RD AVE NW,HUTCHINSON,MCLEOD,MN,55350
450,44.5302,-94.0216,,AMEREQUIP SCHWARTZ DIV,55354MRQPS129SP,129 S PINE ST,LESTER PRAIRIE,MCLEOD,MN,55354
451,44.5301,-94.0211,,POLY FOAM INC,55354PLYFM116PI,116 PINE ST S,LESTER PRAIRIE,MCLEOD,MN,553540218
452,45.0616,-94.3124,,CUSTOM PRODUCTS OF LITCHFIELD INC,55355CSTMPSOUTH,1715 SIBLEY AVE SOUTH,LITCHFIELD,MEEKER,MN,55355
454,45.0729,-94.303,,"INNOVEX, INC",55355LTCHFONEPR,44 PRECISION DR,LITCHFIELD,MEEKER,MN,55355
